title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Golden Earrings (1947),4,2,Batman (1989),Jurassic Park (1993),"Princess Bride, The (1987)","Philadelphia Story, The (1940)"
GoldenEye (1995),3.20610687,131,Ulee's Gold (1997),Down Periscope (1996),Jungle2Jungle (1997),"Philadelphia Story, The (1940)"
Gone Fishin' (1997),1.818181818,11,Gattaca (1997),"Lion King, The (1994)",Trainspotting (1996),"Crow, The (1994)"
Gone with the Wind (1939),3.854651163,172,Austin Powers: International Man of Mystery (1997),101 Dalmatians (1996),"Devil's Advocate, The (1997)","Remains of the Day, The (1993)"
"Good Man in Africa, A (1994)",3,2,"Clockwork Orange, A (1971)",Snow White and the Seven Dwarfs (1937),Fantasia (1940),Brazil (1985)
Good Morning (1971),1,1,-,-,-,-
Good Will Hunting (1997),4.262626263,198,Grumpier Old Men (1995),"Last of the Mohicans, The (1992)",Young Guns (1988),Mrs. Doubtfire (1993)
"Good, The Bad and The Ugly, The (1966)",3.861313869,137,Lone Star (1996),GoodFellas (1990),Volcano (1997),Secrets & Lies (1996)
GoodFellas (1990),3.951327434,226,Bonnie and Clyde (1967),"Good, The Bad and The Ugly, The (1966)",Tomorrow Never Dies (1997),Beavis and Butt-head Do America (1996)
"Goofy Movie, A (1995)",2.9,20,"Graduate, The (1967)",Jungle2Jungle (1997),"African Queen, The (1951)","Close Shave, A (1995)"
Gordy (1995),1,3,-,-,-,-
Grace of My Heart (1996),3.25,8,"Hunchback of Notre Dame, The (1996)",Absolute Power (1997),12 Angry Men (1957),Dave (1993)
"Graduate, The (1967)",4.10460251,239,Wag the Dog (1997),Chinatown (1974),Everyone Says I Love You (1996),"Sex, Lies, and Videotape (1989)"
"Grand Day Out, A (1992)",4.106060606,66,Seven Years in Tibet (1997),"Boot, Das (1981)",Boogie Nights (1997),True Romance (1993)
"Grass Harp, The (1995)",3.222222222,9,Heat (1995),Rumble in the Bronx (1995),In the Name of the Father (1993),"Close Shave, A (1995)"
Grateful Dead (1995),3.5,4,"Birdcage, The (1996)","Mask, The (1994)",Mission: Impossible (1996),Home Alone (1990)
Grease (1978),3.347058824,170,While You Were Sleeping (1995),"Postino, Il (1994)",Sleepless in Seattle (1993),Kolya (1996)
Grease 2 (1982),2,24,Kolya (1996),Welcome to the Dollhouse (1995),Cold Comfort Farm (1995),"Nightmare on Elm Street, A (1984)"
"Great Day in Harlem, A (1994)",5,1,-,-,-,-
"Great Dictator, The (1940)",4.02173913,46,Mimic (1997),Down Periscope (1996),Multiplicity (1996),"Wrong Trousers, The (1993)"
"Great Escape, The (1963)",4.10483871,124,Michael (1996),Con Air (1997),"Peacemaker, The (1997)",Rosewood (1997)
Great Expectations (1998),3.222222222,27,Miracle on 34th Street (1994),"Nightmare on Elm Street, A (1984)","Close Shave, A (1995)",Basic Instinct (1992)
"Great Race, The (1965)",3.290322581,31,Alien: Resurrection (1997),Crash (1996),True Romance (1993),Kingpin (1996)
"Great White Hype, The (1996)",2.755102041,49,L.A. Confidential (1997),Fly Away Home (1996),Vertigo (1958),My Fair Lady (1964)
Gridlock'd (1997),3.210526316,19,Being There (1979),"Magnificent Seven, The (1954)","Maltese Falcon, The (1941)","Sex, Lies, and Videotape (1989)"
"Grifters, The (1990)",3.483146067,89,Chinatown (1974),Ulee's Gold (1997),Some Like It Hot (1959),L.A. Confidential (1997)
Grosse Fatigue (1994),3.25,4,Ulee's Gold (1997),Conan the Barbarian (1981),Tombstone (1993),Cool Hand Luke (1967)
Grosse Pointe Blank (1997),3.675,160,Arsenic and Old Lace (1944),Cop Land (1997),Conan the Barbarian (1981),Wag the Dog (1997)
Groundhog Day (1993),3.764285714,280,That Thing You Do! (1996),Singin' in the Rain (1952),Die Hard: With a Vengeance (1995),Lone Star (1996)
Grumpier Old Men (1995),3.040540541,148,Good Will Hunting (1997),G.I. Jane (1997),Starship Troopers (1997),Kiss the Girls (1997)
Guantanamera (1994),3.75,4,Jerry Maguire (1996),Sneakers (1992),Toy Story (1995),"Truth About Cats & Dogs, The (1996)"
Guilty as Sin (1993),2.166666667,6,Star Trek: The Motion Picture (1979),Evita (1996),Mr. Holland's Opus (1995),Young Guns (1988)
Gumby: The Movie (1995),2.6,5,Searching for Bobby Fischer (1993),Beavis and Butt-head Do America (1996),"Sex, Lies, and Videotape (1989)",Batman Returns (1992)
Hackers (1995),2.606060606,33,Lost Highway (1997),Everyone Says I Love You (1996),"Philadelphia Story, The (1940)","Hunchback of Notre Dame, The (1996)"
Half Baked (1998),2.5,20,Rumble in the Bronx (1995),"Professional, The (1994)",Grosse Pointe Blank (1997),Terminator 2: Judgment Day (1991)
Halloween: The Curse of Michael Myers (1995),2.2,25,Good Will Hunting (1997),My Fair Lady (1964),"Boot, Das (1981)","Birdcage, The (1996)"
Hamlet (1996),4.011111111,90,Ben-Hur (1959),Henry V (1989),"Deer Hunter, The (1978)",Emma (1996)
Hana-bi (1997),3,1,-,-,-,-
Happy Gilmore (1996),3.389261745,149,Kolya (1996),Gattaca (1997),Ulee's Gold (1997),Alien: Resurrection (1997)
Hard Eight (1996),4,15,Gandhi (1982),Full Metal Jacket (1987),"Hunt for Red October, The (1990)",Star Trek VI: The Undiscovered Country (1991)
Hard Rain (1998),2.903225806,31,Real Genius (1985),"Craft, The (1996)",Waterworld (1995),Strictly Ballroom (1992)
Hard Target (1993),2.7,40,Emma (1996),Kolya (1996),On Golden Pond (1981),"Postino, Il (1994)"
Harlem (1993),2.75,4,"Godfather: Part II, The (1974)",Gone with the Wind (1939),Con Air (1997),Star Trek IV: The Voyage Home (1986)
Harold and Maude (1971),3.818181818,121,"Sex, Lies, and Videotape (1989)",Swingers (1996),True Romance (1993),Ulee's Gold (1997)
Harriet the Spy (1996),2.7,40,Under Siege (1992),In the Name of the Father (1993),"Philadelphia Story, The (1940)",Fly Away Home (1996)
"Hate (Haine, La) (1995)",3.5,18,Apt Pupil (1998),Fried Green Tomatoes (1991),While You Were Sleeping (1995),Platoon (1986)
"Haunted World of Edward D. Wood Jr., The (1995)",3.733333333,15,Scream 2 (1997),While You Were Sleeping (1995),"Long Kiss Goodnight, The (1996)",L.A. Confidential (1997)
He Walked by Night (1948),4,1,-,-,-,-
Head Above Water (1996),3,4,Jackie Brown (1997),"Full Monty, The (1997)",Event Horizon (1997),Wag the Dog (1997)
Hear My Song (1991),3.25,8,Alien (1979),"Firm, The (1993)",Clerks (1994),"Sex, Lies, and Videotape (1989)"
Hearts and Minds (1996),3.8,5,Titanic (1997),"Sting, The (1973)",Everyone Says I Love You (1996),Some Like It Hot (1959)
Heat (1995),3.569506726,223,"Philadelphia Story, The (1940)","Game, The (1997)",Michael (1996),Cop Land (1997)
Heathers (1989),3.69005848,171,Sling Blade (1996),Grosse Pointe Blank (1997),Good Will Hunting (1997),Natural Born Killers (1994)
Heaven & Earth (1993),2.555555556,9,Singin' in the Rain (1952),Pretty Woman (1990),Stargate (1994),"Ghost and the Darkness, The (1996)"
Heaven's Prisoners (1996),2.518518519,27,"Cable Guy, The (1996)",Strictly Ballroom (1992),Henry V (1989),"Remains of the Day, The (1993)"
Heavenly Creatures (1994),3.671428571,70,"Frighteners, The (1996)","Adventures of Priscilla, Queen of the Desert, The (1994)","Clockwork Orange, A (1971)","Nightmare Before Christmas, The (1993)"
Heavy (1995),2.4,5,Pretty Woman (1990),Chasing Amy (1997),Being There (1979),When Harry Met Sally... (1989)
Heavy Metal (1981),3.260273973,73,Rosewood (1997),Tomorrow Never Dies (1997),Good Will Hunting (1997),Ulee's Gold (1997)
Heavyweights (1994),2.153846154,13,"Full Monty, The (1997)",Primal Fear (1996),Seven Years in Tibet (1997),Donnie Brasco (1997)
Hedd Wyn (1992),1,1,-,-,-,-
Heidi Fleiss: Hollywood Madam (1995) ,2.692307692,13,"Ice Storm, The (1997)","Saint, The (1997)",Tombstone (1993),Dumbo (1941)
Hellraiser: Bloodline (1996),2,18,Phenomenon (1996),Secrets & Lies (1996),Rosewood (1997),Beautiful Girls (1996)
Henry V (1989),4.137096774,124,Unforgiven (1992),Seven Years in Tibet (1997),Searching for Bobby Fischer (1993),Cop Land (1997)
Herbie Rides Again (1974),2.272727273,11,Rosewood (1997),James and the Giant Peach (1996),Jungle2Jungle (1997),Multiplicity (1996)
Hercules (1997),3.515151515,66,Wag the Dog (1997),Shine (1996),Secrets & Lies (1996),Ulee's Gold (1997)
Here Comes Cookie (1935),2,1,-,-,-,-
Hideaway (1995),2.444444444,9,"First Wives Club, The (1996)",Little Women (1994),"Hudsucker Proxy, The (1994)",Happy Gilmore (1996)
High Noon (1952),4.102272727,88,"Frighteners, The (1996)",Swingers (1996),"Magnificent Seven, The (1954)",Ulee's Gold (1997)
High School High (1996),2.620689655,29,Secrets & Lies (1996),Cinema Paradiso (1988),Some Like It Hot (1959),Cold Comfort Farm (1995)
Higher Learning (1995),3.333333333,30,"Ice Storm, The (1997)",Murder at 1600 (1997),Mother (1996),Apt Pupil (1998)
Highlander (1986),3.535947712,153,Scream 2 (1997),"Peacemaker, The (1997)","Ghost and the Darkness, The (1996)",In & Out (1997)
Highlander III: The Sorcerer (1994),2.125,16,Crash (1996),Welcome to the Dollhouse (1995),One Fine Day (1996),Fly Away Home (1996)
His Girl Friday (1940),4,56,"Cable Guy, The (1996)","Hunchback of Notre Dame, The (1996)","People vs. Larry Flynt, The (1996)",Seven Years in Tibet (1997)
Hollow Reed (1996),2.333333333,6,Trainspotting (1996),Kingpin (1996),Rumble in the Bronx (1995),"Saint, The (1997)"
Homage (1995),1,1,-,-,-,-
Home Alone (1990),3.087591241,137,Michael (1996),Maverick (1994),My Best Friend's Wedding (1997),Starship Troopers (1997)
Home Alone 3 (1997),1.894736842,19,Batman (1989),Broken Arrow (1996),Clueless (1995),Die Hard (1988)
Home for the Holidays (1995),3.155172414,58,Ulee's Gold (1997),Lawrence of Arabia (1962),Little Women (1994),Rosewood (1997)
Homeward Bound II: Lost in San Francisco (1996),2.78125,32,Lost Highway (1997),"Ice Storm, The (1997)",G.I. Jane (1997),William Shakespeare's Romeo and Juliet (1996)
Homeward Bound: The Incredible Journey (1993),3.213114754,61,Good Will Hunting (1997),Cop Land (1997),Miracle on 34th Street (1994),Fly Away Home (1996)
Hoodlum (1997),2.931506849,73,Being There (1979),Strictly Ballroom (1992),"Room with a View, A (1986)","Good, The Bad and The Ugly, The (1966)"
Hoop Dreams (1994),4.094017094,117,"Wrong Trousers, The (1993)",William Shakespeare's Romeo and Juliet (1996),Chasing Amy (1997),Mother (1996)
"Horse Whisperer, The (1998)",2.714285714,7,Real Genius (1985),Waterworld (1995),Clerks (1994),"Professional, The (1994)"
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",4.111111111,9,Fried Green Tomatoes (1991),Little Women (1994),Mighty Aphrodite (1995),Aladdin (1992)
Hostile Intentions (1994),1,1,-,-,-,-
Hot Shots! Part Deux (1993),2.764705882,68,Chinatown (1974),Secrets & Lies (1996),Bonnie and Clyde (1967),Father of the Bride Part II (1995)
Hotel de Love (1996),3.25,4,Beautiful Girls (1996),Event Horizon (1997),G.I. Jane (1997),George of the Jungle (1997)
"Hour of the Pig, The (1993)",3.571428571,14,Bonnie and Clyde (1967),Murder at 1600 (1997),Emma (1996),Jungle2Jungle (1997)
House Arrest (1996),2.52,25,Kolya (1996),"Ice Storm, The (1997)",Alien: Resurrection (1997),Lost Highway (1997)
House Party 3 (1994),2,9,Casablanca (1942),Vertigo (1958),Starship Troopers (1997),"Room with a View, A (1986)"
"House of Yes, The (1997)",3,18,Face/Off (1997),Cold Comfort Farm (1995),Mimic (1997),Happy Gilmore (1996)
"House of the Spirits, The (1993)",3.041666667,24,Seven Years in Tibet (1997),Ulee's Gold (1997),"Ice Storm, The (1997)","Craft, The (1996)"
Houseguest (1994),2.833333333,24,"Rainmaker, The (1997)",Kiss the Girls (1997),Murder at 1600 (1997),On Golden Pond (1981)
How to Be a Player (1997),2.761904762,21,Rear Window (1954),Welcome to the Dollhouse (1995),"Craft, The (1996)",Snow White and the Seven Dwarfs (1937)
How to Make an American Quilt (1995),3.338028169,71,Kiss the Girls (1997),"Frighteners, The (1996)",Bound (1996),Young Guns (1988)
"Howling, The (1981)",3.026315789,38,Welcome to the Dollhouse (1995),In & Out (1997),Sabrina (1995),Happy Gilmore (1996)
"Hudsucker Proxy, The (1994)",3.554545455,110,Monty Python's Life of Brian (1979),Chinatown (1974),"Philadelphia Story, The (1940)",Arsenic and Old Lace (1944)
Hugo Pool (1997),3.285714286,7,Spawn (1997),Evita (1996),Chasing Amy (1997),Ulee's Gold (1997)
"Hunchback of Notre Dame, The (1996)",3.377952756,127,Arsenic and Old Lace (1944),Interview with the Vampire (1994),Ed Wood (1994),"Mask, The (1994)"
"Hungarian Fairy Tale, A (1987)",1,1,-,-,-,-
"Hunt for Red October, The (1990)",3.863436123,227,Air Force One (1997),Tombstone (1993),Mimic (1997),Crimson Tide (1995)
"Hunted, The (1995)",2,3,"Shining, The (1980)",GoodFellas (1990),M*A*S*H (1970),Unforgiven (1992)
Hurricane Streets (1998),2.666666667,9,Welcome to the Dollhouse (1995),Star Wars (1977),Die Hard 2 (1990),Die Hard: With a Vengeance (1995)
Hush (1998),2,1,-,-,-,-
I Can't Sleep (J'ai pas sommeil) (1994),2.666666667,3,Dante's Peak (1997),"Full Monty, The (1997)",Jackie Chan's First Strike (1996),Jungle2Jungle (1997)
I Don't Want to Talk About It (De eso no se habla) (1993),4,1,-,-,-,-
I Know What You Did Last Summer (1997),3.06,100,"Sex, Lies, and Videotape (1989)",Ace Ventura: Pet Detective (1994),Cool Hand Luke (1967),"Sound of Music, The (1965)"
I Like It Like That (1994),2.333333333,3,"Shining, The (1980)",Aliens (1986),Die Hard: With a Vengeance (1995),Dead Poets Society (1989)
I Love Trouble (1994),2.5,10,"Long Kiss Goodnight, The (1996)",Con Air (1997),Cold Comfort Farm (1995),Evita (1996)
I Shot Andy Warhol (1996),3.378378378,37,Scream 2 (1997),Dumbo (1941),"Good, The Bad and The Ugly, The (1966)",Being There (1979)
I'll Do Anything (1994),2.6,10,Kiss the Girls (1997),"Boot, Das (1981)",Nikita (La Femme Nikita) (1990),Dante's Peak (1997)
I'm Not Rappaport (1996),3,17,Lost Highway (1997),Event Horizon (1997),Rosewood (1997),Swingers (1996)
"I, Worst of All (Yo, la peor de todas) (1990)",1,1,-,-,-,-
I.Q. (1994),3.320987654,81,Rosewood (1997),"Ghost and the Darkness, The (1996)",G.I. Jane (1997),Benny & Joon (1993)
"Ice Storm, The (1997)",3.611111111,108,Basic Instinct (1992),Down Periscope (1996),Beavis and Butt-head Do America (1996),Full Metal Jacket (1987)
If Lucy Fell (1996),2.75862069,29,Michael (1996),Fly Away Home (1996),Amistad (1997),Ghost (1990)
Ill Gotten Gains (1997),2.333333333,3,"Devil's Own, The (1997)",Liar Liar (1997),Air Force One (1997),G.I. Jane (1997)
Immortal Beloved (1994),3.46031746,63,G.I. Jane (1997),Seven Years in Tibet (1997),"Magnificent Seven, The (1954)","Manchurian Candidate, The (1962)"
In & Out (1997),3.304347826,230,Arsenic and Old Lace (1944),Real Genius (1985),Courage Under Fire (1996),"Sex, Lies, and Videotape (1989)"
In Love and War (1996),3.428571429,28,Cool Hand Luke (1967),Army of Darkness (1993),Kolya (1996),Mystery Science Theater 3000: The Movie (1996)
In the Army Now (1994),2.277777778,18,Bound (1996),Cinema Paradiso (1988),"Crying Game, The (1992)","Rainmaker, The (1997)"
In the Bleak Midwinter (1995),3.6875,16,Arsenic and Old Lace (1944),Spawn (1997),Executive Decision (1996),On Golden Pond (1981)
In the Company of Men (1997),3.712121212,66,"Sex, Lies, and Videotape (1989)","Philadelphia Story, The (1940)",Grease (1978),Young Guns (1988)
In the Line of Duty 2 (1987),2.75,4,Much Ado About Nothing (1993),Carrie (1976),Ace Ventura: Pet Detective (1994),Twelve Monkeys (1995)
In the Line of Fire (1993),3.792899408,169,"Rainmaker, The (1997)",Crimson Tide (1995),Amistad (1997),Clear and Present Danger (1994)
In the Mouth of Madness (1995),2.884615385,26,"Room with a View, A (1986)",Arsenic and Old Lace (1944),"Philadelphia Story, The (1940)",Miracle on 34th Street (1994)
In the Name of the Father (1993),3.911764706,102,G.I. Jane (1997),Amistad (1997),Jungle2Jungle (1997),"Frighteners, The (1996)"
In the Realm of the Senses (Ai no corrida) (1976),2,9,Emma (1996),Hoop Dreams (1994),Waterworld (1995),Volcano (1997)
Incognito (1997),3.5,10,Monty Python and the Holy Grail (1974),Four Weddings and a Funeral (1994),"Devil's Advocate, The (1997)","Room with a View, A (1986)"
Independence Day (ID4) (1996),3.438228438,429,"Craft, The (1996)",Twister (1996),Down Periscope (1996),"Ghost and the Darkness, The (1996)"
Indian Summer (1996),3.25,20,Grumpier Old Men (1995),Star Trek III: The Search for Spock (1984),Cinderella (1950),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Indian in the Cupboard, The (1995)",2.820512821,39,"Devil's Advocate, The (1997)",Fly Away Home (1996),Mother (1996),"Rainmaker, The (1997)"
Indiana Jones and the Last Crusade (1989),3.930513595,331,"Ghost and the Darkness, The (1996)",Raiders of the Lost Ark (1981),Young Guns (1988),Back to the Future (1985)
Infinity (1996),2.666666667,6,"Nightmare on Elm Street, A (1984)","Rock, The (1996)",Four Weddings and a Funeral (1994),"Frighteners, The (1996)"
"Inkwell, The (1994)",3.333333333,3,12 Angry Men (1957),Little Women (1994),Evita (1996),Field of Dreams (1989)
"Innocent Sleep, The (1995)",2,2,"Saint, The (1997)",Rosewood (1997),Murder at 1600 (1997),Fly Away Home (1996)
"Innocents, The (1961)",4.25,4,Terminator 2: Judgment Day (1991),"Philadelphia Story, The (1940)",Babe (1995),Gone with the Wind (1939)
"Inspector General, The (1949)",3.722222222,18,Twelve Monkeys (1995),Dante's Peak (1997),Beavis and Butt-head Do America (1996),Event Horizon (1997)
Interview with the Vampire (1994),3.182481752,137,Seven Years in Tibet (1997),"Ghost and the Darkness, The (1996)",Kiss the Girls (1997),"Hunchback of Notre Dame, The (1996)"
Intimate Relations (1996),3,2,-,-,-,-
Inventing the Abbotts (1997),3.130434783,23,"American President, The (1995)",Raging Bull (1980),GoldenEye (1995),"Sex, Lies, and Videotape (1989)"
"Invitation, The (Zaproszenie) (1986)",1,1,-,-,-,-
"Island of Dr. Moreau, The (1996)",2.157894737,57,"Edge, The (1997)",Down Periscope (1996),Fly Away Home (1996),Tomorrow Never Dies (1997)
It Could Happen to You (1994),3.652173913,46,Young Frankenstein (1974),Phenomenon (1996),On Golden Pond (1981),Donnie Brasco (1997)
It Happened One Night (1934),4.012345679,81,One Fine Day (1996),My Left Foot (1989),Lost Highway (1997),Cinema Paradiso (1988)
It Takes Two (1995),2.666666667,3,Ben-Hur (1959),Monty Python and the Holy Grail (1974),Die Hard 2 (1990),Dead Poets Society (1989)
It's My Party (1995),3.285714286,21,"Good, The Bad and The Ugly, The (1966)","Deer Hunter, The (1978)","Net, The (1995)",Secrets & Lies (1996)
It's a Wonderful Life (1946),4.121212121,231,Miracle on 34th Street (1994),Mr. Smith Goes to Washington (1939),Jungle2Jungle (1997),Field of Dreams (1989)
JLG/JLG - autoportrait de décembre (1994),1,1,-,-,-,-
Jack (1996),3.142857143,70,G.I. Jane (1997),Pink Floyd - The Wall (1982),"Manchurian Candidate, The (1962)","Craft, The (1996)"
